flightNumber,airline,arrivalDate,arrivalTime,passengers
SU6004,UTair,2024-02-25,23:10,102
SU2578,Red Wings,2024-03-15,21:08,163
SU6263,Nordavia,2024-01-05,14:18,123
SU9458,Aeroflot,2024-10-27,02:15,253
SU992,Yakutia,2024-06-25,06:16,224
SU7074,Azimuth,2024-09-06,17:49,287
SU9245,Ural Airlines,2024-04-27,06:38,259
SU2593,Ural Airlines,2024-01-20,14:27,304
SU3071,Pobeda,2024-03-14,05:15,122
SU4435,Pobeda,2024-04-10,11:04,242
SU662,Yakutia,2024-07-25,20:53,154
SU9583,UTair,2024-01-27,15:48,241
SU5509,Nordavia,2024-03-07,15:44,74
SU7753,Red Wings,2024-07-10,15:18,75
SU4837,Ural Airlines,2024-09-20,09:38,335
SU4837,Azimuth,2024-01-13,15:32,155
SU497,Rossiya,2024-05-13,15:59,81
SU1262,Ural Airlines,2024-11-01,11:25,177
SU2812,Azimuth,2024-06-03,14:11,57
SU6232,Rossiya,2024-07-22,21:58,140
SU1970,Red Wings,2024-04-04,17:41,83
SU4536,Yakutia,2024-02-20,17:57,240
SU6510,S7 Airlines,2024-06-18,23:30,175
SU3391,S7 Airlines,2024-11-02,21:55,276
SU1313,UTair,2024-07-19,19:24,295
SU4251,Yakutia,2024-12-11,18:32,234
SU9855,UTair,2024-03-12,10:33,250
SU4216,Red Wings,2024-02-09,06:07,59
SU7038,Aeroflot,2024-03-21,22:48,331
SU5045,S7 Airlines,2024-06-14,03:52,212
SU6975,Rossiya,2024-04-19,20:42,348
SU4173,Nordavia,2024-01-18,13:55,131
SU4725,UTair,2024-04-28,03:36,146
SU6433,Yakutia,2024-10-05,10:15,217
SU7635,Nordavia,2024-07-22,01:58,273
SU9140,Aeroflot,2024-01-20,01:44,180
SU1376,Rossiya,2024-06-18,09:05,64
SU4006,Red Wings,2024-09-04,18:44,346
SU6982,Ural Airlines,2024-09-11,13:24,209
SU8046,Azimuth,2024-07-26,07:16,293
SU7207,Pobeda,2024-03-02,06:50,350
SU8116,Azimuth,2024-06-09,08:18,209
SU207,Ural Airlines,2024-09-20,16:43,166
SU1283,Azimuth,2024-02-15,15:05,303
SU9537,Pobeda,2024-05-01,08:12,246
SU9892,Red Wings,2024-04-13,08:02,86
SU1841,Yakutia,2024-05-16,15:22,336
SU4976,Aeroflot,2024-06-15,16:01,345
SU487,UTair,2024-02-26,23:26,75
SU6700,S7 Airlines,2024-02-13,22:37,273
SU3621,Red Wings,2024-09-23,01:57,306
SU8755,Azimuth,2024-04-18,23:05,63
SU9008,UTair,2024-08-21,11:03,172
SU2399,Pobeda,2024-04-15,11:01,204
SU1478,Nordavia,2024-06-16,18:58,137
SU6228,Nordavia,2024-07-23,23:29,243
SU6805,UTair,2024-08-20,00:32,100
SU1097,Pobeda,2024-01-11,02:52,109
SU9727,UTair,2024-03-25,11:10,54
SU9196,UTair,2024-07-24,08:38,278
SU9230,UTair,2024-03-05,09:17,100
SU9711,Azimuth,2024-07-23,07:35,317
SU1610,Yakutia,2024-04-11,06:26,100
SU4897,Azimuth,2024-09-13,07:20,349
SU6459,Rossiya,2024-06-17,02:14,206
SU1240,Nordavia,2024-07-17,16:30,212
SU4167,S7 Airlines,2024-11-16,02:17,253
SU6169,S7 Airlines,2024-09-12,16:05,288
SU7432,Nordavia,2024-06-17,03:29,172
SU5520,Aeroflot,2024-05-01,16:24,222
SU8948,Nordavia,2024-06-23,13:36,77
SU1380,Ural Airlines,2024-12-24,19:41,92
SU8831,Rossiya,2024-05-23,22:00,323
SU2324,Rossiya,2024-03-12,04:10,136
SU1765,Pobeda,2024-10-16,12:03,66
SU3920,Rossiya,2024-07-09,10:05,198
SU7957,Pobeda,2024-05-26,22:44,174
SU7462,Pobeda,2024-03-17,01:22,235
SU1015,Pobeda,2024-05-22,03:14,315
SU2340,Nordavia,2024-01-14,15:07,81
SU8639,Rossiya,2024-11-24,14:49,165
SU2575,Ural Airlines,2024-07-03,00:46,221
SU2648,Azimuth,2024-10-03,03:25,167
SU5610,S7 Airlines,2024-05-13,03:47,283
SU1233,UTair,2024-12-08,22:40,65
SU1894,Ural Airlines,2024-11-16,12:20,205
SU7499,S7 Airlines,2024-09-22,23:34,235
SU7427,Azimuth,2024-03-10,20:13,315
SU6088,Ural Airlines,2024-04-03,15:20,53
SU9670,Azimuth,2024-07-25,10:29,285
SU6988,Ural Airlines,2024-03-23,13:59,273
SU5580,UTair,2024-01-26,15:18,103
SU8064,Nordavia,2024-03-06,23:05,189
SU802,Azimuth,2024-03-25,10:31,184
SU2058,Red Wings,2024-08-14,23:37,176
SU9927,Ural Airlines,2024-07-10,03:46,150
SU7080,UTair,2024-04-17,15:43,300
SU1153,Yakutia,2024-07-04,16:28,180
SU4129,Rossiya,2024-08-17,09:52,261
SU4420,Azimuth,2024-12-14,00:06,107
SU8128,Ural Airlines,2024-03-11,16:51,262
SU8022,Nordavia,2024-09-11,11:49,119
SU7827,Aeroflot,2024-10-16,10:05,225
SU7806,S7 Airlines,2024-05-23,11:26,149
SU312,Pobeda,2024-05-11,23:11,309
SU2774,Ural Airlines,2024-08-08,05:23,200
SU3762,S7 Airlines,2024-05-06,19:41,303
SU1087,Azimuth,2024-06-20,15:08,195
SU9592,Ural Airlines,2024-04-05,09:29,135
SU2071,Azimuth,2024-07-17,19:37,223
SU420,Yakutia,2024-01-11,03:14,342
SU6888,Red Wings,2024-03-22,20:45,294
SU7205,Nordavia,2024-09-21,06:28,290
SU863,Azimuth,2024-01-26,00:10,114
SU5227,Rossiya,2024-06-04,23:56,294
SU4716,Pobeda,2024-06-23,20:02,276
SU2246,Aeroflot,2024-06-01,16:24,63
SU3442,Yakutia,2024-05-10,14:38,143
SU2394,Yakutia,2024-08-01,06:13,196
SU1049,Rossiya,2024-02-20,06:44,344
SU1901,Ural Airlines,2024-05-12,07:58,104
SU8709,Red Wings,2024-10-27,10:52,97
SU1022,Ural Airlines,2024-05-10,10:42,245
SU6509,Nordavia,2024-05-07,13:01,164
SU1184,Ural Airlines,2024-03-10,09:29,150
SU724,UTair,2024-01-21,07:25,227
SU7900,Yakutia,2024-01-23,08:46,209
SU6391,Yakutia,2024-07-08,07:47,127
SU3697,Rossiya,2024-06-22,01:39,266
SU3932,UTair,2024-11-10,01:22,79
SU2199,Azimuth,2024-04-04,05:02,182
SU2263,Azimuth,2024-04-04,13:05,296
SU8171,Yakutia,2024-07-11,22:13,211
SU2113,UTair,2024-01-26,19:03,77
SU672,Rossiya,2024-04-02,20:39,76
SU3622,Red Wings,2024-01-14,05:16,269
SU9031,S7 Airlines,2024-05-02,19:52,310
SU7527,UTair,2024-11-18,20:57,186
SU7991,UTair,2024-05-09,09:16,144
SU804,Yakutia,2024-11-01,01:14,102
SU8798,Pobeda,2024-08-12,09:33,267
SU2934,Aeroflot,2024-06-22,12:19,135
SU3036,Ural Airlines,2024-07-12,20:47,183
SU6493,Azimuth,2024-09-19,06:41,200
SU8004,UTair,2024-12-06,15:51,203
SU4682,Azimuth,2024-05-24,06:02,99
SU6928,Red Wings,2024-12-22,10:18,124
SU8530,Red Wings,2024-03-02,11:18,82
SU6354,Rossiya,2024-10-05,04:36,87
SU927,Rossiya,2024-04-12,23:45,322
SU8967,Rossiya,2024-06-26,11:43,207
SU4886,Pobeda,2024-12-16,14:57,111
SU4401,Azimuth,2024-08-05,13:06,121
SU1772,Yakutia,2024-01-15,23:20,342
SU3181,Nordavia,2024-04-08,13:06,149
SU9330,Aeroflot,2024-03-06,09:14,129
SU129,Nordavia,2024-08-16,14:10,147
SU6838,S7 Airlines,2024-07-03,09:09,230
SU2789,Aeroflot,2024-10-28,16:01,163
SU9555,Rossiya,2024-11-08,10:59,259
SU9694,S7 Airlines,2024-02-07,08:10,68
SU2499,Yakutia,2024-10-05,15:01,99
SU2209,Rossiya,2024-05-15,09:41,288
SU9816,Ural Airlines,2024-04-23,21:15,54
SU2204,Pobeda,2024-10-23,10:21,269
SU6106,S7 Airlines,2024-05-22,21:18,252
SU9633,Nordavia,2024-06-13,22:23,291
SU487,Aeroflot,2024-01-10,05:22,261
SU302,Pobeda,2024-04-27,14:34,218
SU2343,Pobeda,2024-09-18,10:23,124
SU2135,Aeroflot,2024-09-20,02:18,143
SU6946,Azimuth,2024-01-09,03:13,193
SU3456,Rossiya,2024-10-07,20:20,340
SU7901,Red Wings,2024-09-16,11:24,106
SU4809,Azimuth,2024-01-24,01:54,259
SU288,Azimuth,2024-02-25,23:58,79
SU3462,Red Wings,2024-01-26,10:56,282
SU9252,Yakutia,2024-09-05,06:11,57
SU7545,Red Wings,2024-10-06,22:03,290
SU8258,UTair,2024-06-09,00:55,316
