size,linear_us,bst_us,rb_tree_us,hash_us,multimap_us,hash_collisions,found_count
100,0.200,0.000,0.000,0.100,0.100,90,11
500,2.200,1.000,1.000,1.000,2.000,490,43
1000,7.500,3.600,3.900,3.500,4.200,990,101
2000,10.600,6.100,5.100,5.100,8.300,1990,188
5000,38.000,19.000,19.400,20.300,29.900,4990,495
10000,68.200,32.100,26.400,26.500,41.800,9990,978
20000,560.100,116.000,73.800,67.600,194.000,19990,2012
50000,1300.600,177.500,154.500,138.100,909.100,49990,5156
75000,962.100,205.000,544.600,342.000,1818.900,74990,7411
100000,1849.700,1044.300,631.600,1050.200,3424.100,99990,9989
200000,4720.300,1496.600,2051.000,1506.200,6725.800,199990,20105
500000,15219.700,5858.700,6576.300,4846.800,18219.400,499990,50067
1000000,118435.900,14136.800,13709.100,8063.100,58292.700,999990,100474
